BinhLuan,Nhan
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Quảng cáo hơi chán chán hẳn,0
Quảng cáo rất tệ 😡,0
Nội dung cực kỳ chill nhé,1
Nhạc quá nhảm nhí hụt hẫng,0
Kênh này cực kỳ sâu lắng 10 điểm,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Quảng cáo hơi thiếu tôn trọng người xem chán hẳn,0
Video vô cùng chill ❤️,1
Nhạc cực kỳ nhảm nhí chán hẳn,0
Quảng cáo quá nhạt nhẽo thua,0
Cách truyền đạt cực kỳ cuốn mong chờ tập sau,1
Nhạc hơi nhạt nhẽo cần cải thiện,0
Âm thanh hơi rác cần cải thiện,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
Kênh này rất chán phí thời gian,0
Cách truyền đạt rất chill 10 điểm,1
Hình ảnh khá đỉnh cao nha,1
Hình ảnh khá ý nghĩa mong chờ tập sau,1
Nội dung quá chất lượng mong chờ tập sau,1
Kênh này cực kỳ bổ ích 10 điểm,1
Nhạc rất bổ ích mong chờ tập sau,1
Bài hát quá chất lượng nhé,1
Nội dung thật sự chán cần cải thiện,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
Beat nhạc rất ý nghĩa luôn,1
Video khá đỉnh cao luôn,1
Cách truyền đạt vô cùng cuốn mong chờ tập sau,1
Kênh này cực kỳ nhạt nhẽo 😡,0
Nhạc rất hay mong chờ tập sau,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Nội dung thật sự sâu lắng 😍,1
Kênh này quá đỉnh cao nha,1
Quảng cáo hơi rác thua,0
Beat nhạc thật sự bổ ích ❤️,1
Nhạc quá rác cần cải thiện,0
Cách truyền đạt khá chất lượng nhé,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Video quá nhiều ồn ào 😡,0
Video quá nhiều buồn ngủ !,0
Bài hát quá chất lượng 10 điểm,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Nội dung khá chất lượng nha,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Nội dung cực kỳ bổ ích nhé,1
Nội dung thật sự cuốn nhé,1
Kênh này rất chán 😡,0
Beat nhạc rất ý nghĩa mong chờ tập sau,1
Quảng cáo thật sự rác thua,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Bài hát khá hay nhé,1
Bài hát khá ý nghĩa mong chờ tập sau,1
Nội dung hơi thiếu tôn trọng người xem chán hẳn,0
Kênh này thật sự tệ cần cải thiện,0
Cách truyền đạt vô cùng cuốn mong chờ tập sau,1
Hình ảnh thật sự cuốn mong chờ tập sau,1
Cách dựng phim quá thiếu tôn trọng người xem !,0
Cách dựng phim cực kỳ nhảm nhí phí thời gian,0
Cách truyền đạt cực kỳ sâu lắng ❤️,1
Âm thanh thật sự nhạt nhẽo 😡,0
Cách dựng phim cực kỳ tệ chán hẳn,0
Nội dung rất cuốn ❤️,1
Kênh này cực kỳ ý nghĩa quá chừng,1
Nhạc rất hay 😍,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Video quá bổ ích quá chừng,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Quảng cáo quá tệ hụt hẫng,0
Kênh này thật sự ồn ào hụt hẫng,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Kênh này quá nhiều nhạt nhẽo hụt hẫng,0
Âm thanh quá chán cần cải thiện,0
Kênh này quá tệ cần cải thiện,0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Video quá rác chán hẳn,0
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Nội dung khá ý nghĩa nha,1
Cách dựng phim thật sự buồn ngủ phí thời gian,0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Video vô cùng ý nghĩa 10 điểm,1
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Âm thanh thật sự chán thua,0
Âm thanh hơi nhạt nhẽo 😡,0
Bài hát cực kỳ hay luôn,1
Nhạc quá nhiều nhạt nhẽo !,0
Cách truyền đạt rất chuyên nghiệp quá chừng,1
Beat nhạc khá bổ ích ❤️,1
Âm thanh quá nhiều buồn ngủ thua,0
Nội dung hơi thiếu tôn trọng người xem phí thời gian,0
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Âm thanh rất nhạt nhẽo tắt đi luôn,0
Cách truyền đạt vô cùng đỉnh cao 10 điểm,1
Nội dung vô cùng ý nghĩa 😍,1
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Video quá ý nghĩa mong chờ tập sau,1
Video rất sâu lắng nhé,1
Beat nhạc khá hay 10 điểm,1
Beat nhạc vô cùng sâu lắng 😍,1
Nhạc cực kỳ nhạt nhẽo !,0
Cách dựng phim quá nhiều rác phí thời gian,0
Nội dung thật sự nhạt nhẽo !,0
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Quảng cáo hơi buồn ngủ tắt đi luôn,0
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Quảng cáo quá nhiều buồn ngủ cần cải thiện,0
Nội dung thật sự đỉnh cao nhé,1
Quảng cáo cực kỳ rác chán hẳn,0
Nội dung thật sự chán phí thời gian,0
Quảng cáo quá nhiều ồn ào phí thời gian,0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Cách truyền đạt cực kỳ chất lượng 😍,1
Quảng cáo quá nhiều thiếu tôn trọng người xem thua,0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Bài hát rất hay 10 điểm,1
Nội dung thật sự rác !,0
Cách dựng phim quá rác tắt đi luôn,0
Kênh này quá thiếu tôn trọng người xem !,0
Beat nhạc quá cuốn ❤️,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Kênh này cực kỳ rác tắt đi luôn,0
Nhạc hơi buồn ngủ hụt hẫng,0
Kênh này quá sâu lắng nhé,1
Quảng cáo cực kỳ thiếu tôn trọng người xem hụt hẫng,0
Beat nhạc rất chuyên nghiệp mong chờ tập sau,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Âm thanh hơi ồn ào phí thời gian,0
Nội dung cực kỳ nhạt nhẽo tắt đi luôn,0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Nhạc quá nhiều chán tắt đi luôn,0
Beat nhạc thật sự ý nghĩa nhé,1
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Kênh này thật sự ý nghĩa mong chờ tập sau,1
Cách dựng phim cực kỳ thiếu tôn trọng người xem cần cải thiện,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Âm thanh quá nhiều rác 😡,0
Bài hát rất ý nghĩa nha,1
Kênh này cực kỳ cuốn 10 điểm,1
Nội dung cực kỳ thiếu tôn trọng người xem 😡,0
Beat nhạc khá chất lượng ❤️,1
Nội dung cực kỳ thiếu tôn trọng người xem phí thời gian,0
Bài hát cực kỳ ý nghĩa nha,1
Kênh này hơi thiếu tôn trọng người xem 😡,0
Quảng cáo thật sự ồn ào hụt hẫng,0
Cách dựng phim quá nhiều nhảm nhí tắt đi luôn,0
Cách truyền đạt vô cùng sâu lắng luôn,1
Kênh này quá hay mong chờ tập sau,1
Âm thanh rất rác cần cải thiện,0
Bài hát cực kỳ bổ ích quá chừng,1
Nội dung vô cùng chuyên nghiệp 10 điểm,1
Âm thanh quá nhiều tệ cần cải thiện,0
Cách truyền đạt rất chất lượng 10 điểm,1
Kênh này vô cùng chuyên nghiệp ❤️,1
Cách truyền đạt cực kỳ cuốn nha,1
Quảng cáo quá nhiều ồn ào tắt đi luôn,0
Nhạc cực kỳ chất lượng nhé,1
Beat nhạc thật sự sâu lắng 10 điểm,1
Nội dung cực kỳ cuốn mong chờ tập sau,1
Nhạc cực kỳ hay ❤️,1
Nhạc cực kỳ rác thua,0
Video thật sự rác cần cải thiện,0
Bài hát quá chuyên nghiệp mong chờ tập sau,1
Bài hát thật sự cuốn mong chờ tập sau,1
Cách truyền đạt cực kỳ chất lượng ❤️,1
Hình ảnh vô cùng chất lượng mong chờ tập sau,1
Nhạc quá nhiều buồn ngủ cần cải thiện,0
Kênh này quá nhiều chán tắt đi luôn,0
Kênh này rất tệ 😡,0
Beat nhạc khá cuốn mong chờ tập sau,1
Nhạc rất thiếu tôn trọng người xem hụt hẫng,0
Nhạc cực kỳ nhạt nhẽo phí thời gian,0
Bài hát khá đỉnh cao nhé,1
Kênh này thật sự nhảm nhí phí thời gian,0
Hình ảnh cực kỳ chất lượng 😍,1
Video thật sự ồn ào 😡,0
Quảng cáo quá nhiều tệ phí thời gian,0
Kênh này rất cuốn quá chừng,1
Nội dung thật sự tệ chán hẳn,0
Quảng cáo rất nhạt nhẽo tắt đi luôn,0
Video cực kỳ thiếu tôn trọng người xem 😡,0
Nhạc thật sự tệ 😡,0
Kênh này quá chán thua,0
Beat nhạc thật sự chuyên nghiệp 10 điểm,1
Video quá cuốn mong chờ tập sau,1
Video rất tệ hụt hẫng,0
Âm thanh hơi thiếu tôn trọng người xem thua,0
Cách truyền đạt rất cuốn mong chờ tập sau,1
Hình ảnh quá đỉnh cao quá chừng,1
Cách truyền đạt cực kỳ đỉnh cao nha,1
Âm thanh thật sự ồn ào phí thời gian,0
Nhạc cực kỳ chán chán hẳn,0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Nhạc quá cuốn quá chừng,1
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Nội dung cực kỳ hay nhé,1
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Cách truyền đạt khá bổ ích nhé,1
Quảng cáo rất tệ thua,0
Beat nhạc vô cùng cuốn ❤️,1
Nội dung thật sự sâu lắng nha,1
Nhạc rất nhảm nhí phí thời gian,0
Video khá sâu lắng mong chờ tập sau,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Nội dung cực kỳ thiếu tôn trọng người xem phí thời gian,0
Hình ảnh cực kỳ chill nha,1
Kênh này cực kỳ ồn ào cần cải thiện,0
Nội dung khá sâu lắng 10 điểm,1
Quảng cáo thật sự chán chán hẳn,0
Cách dựng phim rất ồn ào !,0
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
Cách dựng phim thật sự nhạt nhẽo phí thời gian,0
Video rất đỉnh cao quá chừng,1
Cách dựng phim cực kỳ ồn ào hụt hẫng,0
Âm thanh cực kỳ tệ !,0
Nhạc thật sự tệ tắt đi luôn,0
Nhạc rất chill quá chừng,1
Kênh này quá buồn ngủ phí thời gian,0
Nhạc rất chán !,0
Âm thanh quá nhiều ồn ào tắt đi luôn,0
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Cách truyền đạt quá chill nhé,1
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Nhạc quá nhiều rác 😡,0
Nhạc quá sâu lắng quá chừng,1
Quảng cáo thật sự buồn ngủ tắt đi luôn,0
Kênh này quá ý nghĩa 10 điểm,1
Âm thanh rất chán thua,0
Hình ảnh quá đỉnh cao mong chờ tập sau,1
Nhạc thật sự đỉnh cao 10 điểm,1
Quảng cáo rất buồn ngủ 😡,0
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Cách truyền đạt vô cùng chill luôn,1
Quảng cáo cực kỳ chán 😡,0
Bài hát thật sự cuốn nha,1
Nhạc quá nhiều ồn ào thua,0
Quảng cáo hơi thiếu tôn trọng người xem 😡,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Kênh này cực kỳ hay 10 điểm,1
Beat nhạc cực kỳ đỉnh cao mong chờ tập sau,1
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Video thật sự cuốn 😍,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Quảng cáo cực kỳ chán hụt hẫng,0
Beat nhạc cực kỳ bổ ích mong chờ tập sau,1
Nội dung cực kỳ đỉnh cao nha,1
Beat nhạc cực kỳ chill nhé,1
Bài hát quá sâu lắng nha,1
Quảng cáo hơi nhạt nhẽo chán hẳn,0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Nội dung thật sự đỉnh cao nha,1
Bài hát khá chất lượng nhé,1
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Nhạc vô cùng bổ ích 😍,1
Cách dựng phim quá nhiều chán hụt hẫng,0
Cách truyền đạt quá sâu lắng 10 điểm,1
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Video quá buồn ngủ thua,0
Nhạc cực kỳ rác 😡,0
Bài hát quá chill nhé,1
Nhạc thật sự nhảm nhí !,0
Quảng cáo quá nhiều thiếu tôn trọng người xem phí thời gian,0
Beat nhạc vô cùng chuyên nghiệp 10 điểm,1
Nhạc quá nhiều buồn ngủ phí thời gian,0
Âm thanh thật sự ồn ào phí thời gian,0
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Âm thanh quá nhiều thiếu tôn trọng người xem hụt hẫng,0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Kênh này rất bổ ích ❤️,1
Cách dựng phim quá nhiều thiếu tôn trọng người xem phí thời gian,0
Beat nhạc cực kỳ bổ ích mong chờ tập sau,1
Nội dung rất chán phí thời gian,0
Nội dung giật gân câu view chứ chả có giá trị gì cả.,0
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
Nhạc cực kỳ sâu lắng mong chờ tập sau,1
Âm thanh quá nhiều ồn ào 😡,0
Nội dung rất nhạt nhẽo hụt hẫng,0
Kênh này quá ý nghĩa 10 điểm,1
Video quá ồn ào 😡,0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Bài hát vô cùng chill 😍,1
"Hướng dẫn chi tiết dễ hiểu, cảm ơn kênh rất nhiều nha.",1
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Kênh này quá nhiều buồn ngủ thua,0
Nhạc rất hay nha,1
Âm thanh quá nhiều nhạt nhẽo !,0
Âm thanh hơi nhạt nhẽo thua,0
Video rất nhảm nhí phí thời gian,0
Cách truyền đạt quá chuyên nghiệp quá chừng,1
Video thật sự ồn ào tắt đi luôn,0
Nhạc quá nhiều thiếu tôn trọng người xem chán hẳn,0
Cách dựng phim quá rác cần cải thiện,0
Quảng cáo thật sự rác thua,0
Nội dung quá chán hụt hẫng,0
Hình ảnh rất hay nha,1
Quảng cáo quá nhiều tệ phí thời gian,0
Hình ảnh rất bổ ích luôn,1
Kênh này rất ý nghĩa nhé,1
Nội dung quá nhiều buồn ngủ !,0
Âm thanh quá nhiều chán chán hẳn,0
Video thật sự sâu lắng quá chừng,1
Nhạc vô cùng chất lượng quá chừng,1
Beat nhạc khá bổ ích luôn,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Bài hát thật sự ý nghĩa mong chờ tập sau,1
Quảng cáo quá nhiều buồn ngủ thua,0
Video rất sâu lắng 😍,1
Âm thanh cực kỳ nhảm nhí !,0
Nhạc rất bổ ích 😍,1
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Nội dung quá rác tắt đi luôn,0
Nội dung rất chất lượng 10 điểm,1
Beat nhạc quá ý nghĩa ❤️,1
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Bài hát vô cùng chất lượng quá chừng,1
Hình ảnh thật sự đỉnh cao ❤️,1
Kênh này khá cuốn ❤️,1
Beat nhạc khá chill mong chờ tập sau,1
"Nội dung bổ ích, học hỏi được rất nhiều từ video này.",1
Nhạc rất chất lượng nha,1
Cách dựng phim quá thiếu tôn trọng người xem 😡,0
"Âm thanh mic rè rè, nghe đau hết cả đầu, chán thật sự.",0
Quảng cáo quá nhiều buồn ngủ hụt hẫng,0
Nhạc quá nhiều tệ !,0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Nội dung thật sự cuốn nhé,1
Kênh này rất cuốn mong chờ tập sau,1
Bài hát khá chuyên nghiệp nha,1
Nhạc thật sự nhảm nhí cần cải thiện,0
"Quảng cáo chèn vào quá nhiều, trải nghiệm cực kỳ ức chế.",0
Kênh này thật sự chill luôn,1
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Video khá sâu lắng nhé,1
Nhạc hơi ồn ào cần cải thiện,0
Cách dựng phim hơi thiếu tôn trọng người xem thua,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
"Dựng phim đỉnh thực sự, màu sắc nét căng, 10 điểm không có nhưng.",1
Bài hát cực kỳ chuyên nghiệp 10 điểm,1
Cách dựng phim quá thiếu tôn trọng người xem hụt hẫng,0
Nhạc quá chán thua,0
Beat nhạc thật sự bổ ích nha,1
Cách truyền đạt khá ý nghĩa luôn,1
Hình ảnh quá đỉnh cao quá chừng,1
Bài hát vô cùng chất lượng 10 điểm,1
Bài hát quá đỉnh cao quá chừng,1
Nội dung quá tệ hụt hẫng,0
Bài hát rất chất lượng 😍,1
Video quá nhiều nhảm nhí chán hẳn,0
Bài hát khá bổ ích nhé,1
Cách dựng phim cực kỳ buồn ngủ phí thời gian,0
Beat nhạc cực kỳ ý nghĩa ❤️,1
Kênh này thật sự chán tắt đi luôn,0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
Hình ảnh khá chất lượng mong chờ tập sau,1
Nhạc thật sự nhạt nhẽo thua,0
Video thật sự rác hụt hẫng,0
Âm thanh rất chán tắt đi luôn,0
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Bật chế độ lặp lại nghe cả ngày không chán luôn á.,1
"Nghe bài này xong thấy lòng bình yên đến lạ, ủng hộ kênh nhiều.",1
Hình ảnh cực kỳ ý nghĩa mong chờ tập sau,1
Hình ảnh khá chuyên nghiệp quá chừng,1
Cách dựng phim quá nhiều tệ chán hẳn,0
Video quá thiếu tôn trọng người xem !,0
Beat nhạc khá ý nghĩa nhé,1
Cách dựng phim thật sự chán cần cải thiện,0
Nội dung quá nhiều rác hụt hẫng,0
Video rất bổ ích 😍,1
Nhạc cực kỳ chán !,0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Nhạc cực kỳ nhảm nhí tắt đi luôn,0
"Nhạc nền quá to đè hết cả tiếng người nói, quá tệ.",0
Nội dung cực kỳ cuốn luôn,1
Quảng cáo quá tệ phí thời gian,0
"Xin lỗi nhưng video này làm hời hợt quá, không bằng các tập trước.",0
Kênh này quá bổ ích luôn,1
Kênh này thật sự nhảm nhí tắt đi luôn,0
Video cực kỳ ý nghĩa quá chừng,1
Quảng cáo quá nhiều nhạt nhẽo phí thời gian,0
Video thật sự bổ ích nhé,1
Video thật sự rác hụt hẫng,0
Kênh này thật sự bổ ích mong chờ tập sau,1
Quảng cáo rất buồn ngủ thua,0
